[2025-04-24T12:00:00Z] Light: 55.00% | Power: 22.10°C | Collision: normal | PowerState: normal
[2025-04-24T12:00:00Z] Light: 55.00% | Power: 22.10°C | Collision: normal | PowerState: normal
[2025-04-24T22:47:43.155339] Light: 35.73% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:47:43.155339] Light: 35.73% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:48:43.225738] Light: 34.91% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:48:43.225738] Light: 34.91% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:49:43.289260] Light: 35.55% | Power: 45.66°C | Collision: normal | PowerState: normal
[2025-04-24T22:49:43.289260] Light: 35.55% | Power: 45.66°C | Collision: normal | PowerState: normal
[2025-04-24T22:50:43.348101] Light: 35.31% | Power: 45.67°C | Collision: normal | PowerState: normal
[2025-04-24T22:50:43.348101] Light: 35.31% | Power: 45.67°C | Collision: normal | PowerState: normal
[2025-04-24T22:51:43.409863] Light: 35.37% | Power: 45.70°C | Collision: normal | PowerState: normal
[2025-04-24T22:51:43.409863] Light: 35.37% | Power: 45.70°C | Collision: normal | PowerState: normal
[2025-04-24T22:52:43.463371] Light: 35.52% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:52:43.463371] Light: 35.52% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:53:43.468856] Light: 35.51% | Power: 45.73°C | Collision: normal | PowerState: normal
[2025-04-24T22:53:43.468856] Light: 35.51% | Power: 45.73°C | Collision: normal | PowerState: normal
[2025-04-24T22:54:43.473179] Light: 34.80% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:54:43.473179] Light: 34.80% | Power: 45.69°C | Collision: normal | PowerState: normal
[2025-04-24T22:55:43.485243] Light: 35.61% | Power: 45.70°C | Collision: normal | PowerState: normal
[2025-04-24T22:55:43.485243] Light: 35.61% | Power: 45.70°C | Collision: normal | PowerState: normal
[2025-04-24T22:56:43.545675] Light: 35.19% | Power: 45.64°C | Collision: normal | PowerState: normal
[2025-04-24T22:56:43.545675] Light: 35.19% | Power: 45.64°C | Collision: normal | PowerState: normal
[2025-04-24T22:57:03.436467] Light: 35.25% | Power: 45.64°C | Collision: normal | PowerState: normal
[2025-04-24T22:57:03.436467] Light: 35.25% | Power: 45.64°C | Collision: normal | PowerState: normal
[2025-04-24T22:57:10.984379] Light: 35.34% | Power: 45.72°C | Collision: collision | PowerState: normal
[2025-04-24T22:57:10.984379] Light: 35.34% | Power: 45.72°C | Collision: collision | PowerState: normal
[2025-04-24T22:58:03.503339] Light: 32.41% | Power: -29.95°C | Collision: normal | PowerState: brownout
[2025-04-24T22:58:03.503339] Light: 32.41% | Power: -29.95°C | Collision: normal | PowerState: brownout
[2025-04-24T22:58:32.053557] Light: 31.93% | Power: 41.34°C | Collision: normal | PowerState: normal
[2025-04-24T22:58:32.053557] Light: 31.93% | Power: 41.34°C | Collision: normal | PowerState: normal
[2025-04-24T22:58:35.804612] Light: 32.30% | Power: 41.34°C | Collision: collision | PowerState: normal
[2025-04-24T22:58:35.804612] Light: 32.30% | Power: 41.34°C | Collision: collision | PowerState: normal
[2025-04-24T22:58:37.916734] Light: 32.14% | Power: 41.36°C | Collision: collision | PowerState: normal
[2025-04-24T22:58:37.916734] Light: 32.14% | Power: 41.36°C | Collision: collision | PowerState: normal
[2025-04-24T22:59:12.716289] Light: 31.90% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T22:59:12.716289] Light: 31.90% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:00:03.810256] Light: 32.39% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:00:03.810256] Light: 32.39% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:01:03.871333] Light: 31.87% | Power: 41.30°C | Collision: normal | PowerState: normal
[2025-04-24T23:01:03.871333] Light: 31.87% | Power: 41.30°C | Collision: normal | PowerState: normal
[2025-04-24T23:02:03.916548] Light: 32.01% | Power: 41.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:02:03.916548] Light: 32.01% | Power: 41.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:02:50.246486] Light: 32.21% | Power: 41.33°C | Collision: normal | PowerState: normal
[2025-04-24T23:02:50.246486] Light: 32.21% | Power: 41.33°C | Collision: normal | PowerState: normal
[2025-04-24T23:03:13.392356] Light: 31.61% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:03:13.392356] Light: 31.61% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:04:13.411856] Light: 32.04% | Power: 41.27°C | Collision: normal | PowerState: normal
[2025-04-24T23:04:13.411856] Light: 32.04% | Power: 41.27°C | Collision: normal | PowerState: normal
[2025-04-24T23:05:13.463815] Light: 32.26% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:05:13.463815] Light: 32.26% | Power: 41.28°C | Collision: normal | PowerState: normal
[2025-04-24T23:06:15.799771] Light: 32.09% | Power: 41.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:06:15.799771] Light: 32.09% | Power: 41.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:07:15.865384] Light: 32.24% | Power: 41.34°C | Collision: normal | PowerState: normal
[2025-04-24T23:07:15.865384] Light: 32.24% | Power: 41.34°C | Collision: normal | PowerState: normal
[2025-04-24T23:09:56.121890] Light: 32.57% | Power: 41.30°C | Collision: normal | PowerState: normal
[2025-04-24T23:09:56.121890] Light: 32.57% | Power: 41.30°C | Collision: normal | PowerState: normal
[2025-04-24T23:10:09.367062] Light: 32.31% | Power: 41.33°C | Collision: collision | PowerState: normal
[2025-04-24T23:10:09.367062] Light: 32.31% | Power: 41.33°C | Collision: collision | PowerState: normal
[2025-04-24T23:10:53.916452] Light: 31.92% | Power: 41.30°C | Collision: collision | PowerState: normal
[2025-04-24T23:10:53.916452] Light: 31.92% | Power: 41.30°C | Collision: collision | PowerState: normal
[2025-04-24T23:10:56.192815] Light: 32.44% | Power: 41.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:10:56.192815] Light: 32.44% | Power: 41.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:11:43.527150] Light: 32.31% | Power: 41.34°C | Collision: collision | PowerState: normal
[2025-04-24T23:11:43.527150] Light: 32.31% | Power: 41.34°C | Collision: collision | PowerState: normal
[2025-04-24T23:12:20.924971] Light: 31.93% | Power: 41.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:12:20.924971] Light: 31.93% | Power: 41.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:13:58.917287] Light: 32.54% | Power: 41.20°C | Collision: normal | PowerState: normal
[2025-04-24T23:13:58.917287] Light: 32.54% | Power: 41.20°C | Collision: normal | PowerState: normal
[2025-04-24T23:14:58.930020] Light: 31.89% | Power: 41.30°C | Collision: normal | PowerState: normal
[2025-04-24T23:14:58.930020] Light: 31.89% | Power: 41.30°C | Collision: normal | PowerState: normal
[2025-04-24T23:15:30.866220] Light: 31.62% | Power: 50.19°C | Collision: collision | PowerState: normal
[2025-04-24T23:15:30.866220] Light: 31.62% | Power: 50.19°C | Collision: collision | PowerState: normal
[2025-04-24T23:15:37.830093] Light: 32.00% | Power: 29.31°C | Collision: collision | PowerState: normal
[2025-04-24T23:15:37.830093] Light: 32.00% | Power: 29.31°C | Collision: collision | PowerState: normal
[2025-04-24T23:15:58.943729] Light: 32.33% | Power: 52.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:15:58.943729] Light: 32.33% | Power: 52.31°C | Collision: normal | PowerState: normal
[2025-04-24T23:16:49.190579] Light: 31.71% | Power: 52.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:16:49.190579] Light: 31.71% | Power: 52.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:17:49.209216] Light: 32.27% | Power: 52.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:17:49.209216] Light: 32.27% | Power: 52.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:18:49.233682] Light: 31.94% | Power: 52.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:18:49.233682] Light: 31.94% | Power: 52.36°C | Collision: normal | PowerState: normal
[2025-04-24T23:19:41.490349] Light: 31.89% | Power: 52.34°C | Collision: normal | PowerState: normal
[2025-04-24T23:19:41.490349] Light: 31.89% | Power: 52.34°C | Collision: normal | PowerState: normal
[2025-04-24T23:19:47.350372] Light: 31.97% | Power: 52.28°C | Collision: collision | PowerState: normal
[2025-04-24T23:19:47.350372] Light: 31.97% | Power: 52.28°C | Collision: collision | PowerState: normal
[2025-04-24T23:19:52.835874] Light: 32.14% | Power: 52.25°C | Collision: collision | PowerState: normal
[2025-04-24T23:19:52.835874] Light: 32.14% | Power: 52.25°C | Collision: collision | PowerState: normal
[2025-04-24T23:20:41.535558] Light: 32.15% | Power: 52.27°C | Collision: normal | PowerState: normal
[2025-04-24T23:20:41.535558] Light: 32.15% | Power: 52.27°C | Collision: normal | PowerState: normal
